Straßenname,Hsnr,HsnrZus,lat,lon,distance,duration_s
Akazienweg,26,A,52.3741266,12.530769249999995,5453.0,3926.1
Akazienweg,25,,52.3736738,12.5300051,5442.5,3918.6
Akazienweg,24,,52.37409685,12.530390067989837,5434.6,3912.9
Akazienweg,23,,52.37381165,12.529803288872316,5422.3,3904.0
Akazienweg,22,,52.3741901,12.530138810772357,5414.8,3898.6
Akazienweg,21,,52.3739719,12.529657980511814,5403.7,3890.6
Akazienweg,20,A,52.3743089,12.5298808,5392.9,3882.8
Akazienweg,20,,52.3742391,12.5298604,5396.5,3885.4
Akazienweg,19,,52.37413735,12.529426456323282,5380.0,3873.5
Akazienweg,18,,52.3743744,12.52971874811653,5379.7,3873.3
Akazienweg,17,,52.37411125,12.529047946985068,5361.4,3860.1
Akazienweg,16,A,52.3747681,12.5297783,5356.3,3856.4
Akazienweg,16,,52.3745163,12.529444290723792,5355.3,3855.8
Akazienweg,15,,52.37434245,12.528993551800797,5342.8,3846.7
Akazienweg,14,,52.3745971,12.52915724661662,5334.4,3840.7
Akazienweg,14,A,52.37494625,12.529564750576624,5332.7,3839.5
Akazienweg,13,,52.3744466,12.5287539,5322.8,3832.4
Akazienweg,12,,52.3747084,12.5288518,5310.4,3823.4
Akazienweg,11,,52.37456105,12.528482303411836,5300.5,3816.3
Akazienweg,10,,52.374815,12.5286183,5290.6,3809.2
Akazienweg,9,,52.3746641,12.528228185202138,5279.8,3801.4
Akazienweg,8,,52.3749193,12.528449753619538,5274.5,3797.6
Akazienweg,8,A,52.37529475,12.528917997370453,5274.3,3797.4
Akazienweg,7,,52.3746809,12.527895384752158,5260.7,3787.7
Akazienweg,6,B,52.375040350000006,12.528213254809357,5253.5,3782.5
Akazienweg,6,A,52.37520145,12.528304438965002,5247.5,3778.2
Akazienweg,5,A,52.3749039,12.5277886,5239.9,3772.7
Akazienweg,5,,52.37467295,12.527517087454548,5240.9,3773.4
Akazienweg,4,,52.3752166,12.52786860436514,5223.0,3760.5
Akazienweg,3,,52.37496305,12.527526531634749,5221.8,3759.6
Akazienweg,2,,52.37540145,12.527703845944432,5201.7,3745.1
Akazienweg,1,,52.3750661,12.52731684061153,5203.5,3746.5
Alfred-Messel-Platz,3,,52.40818985,12.55134927938158,565.6,407.2
