id,Name_Haltestelle,Kategorie,x,y,Adresse_query,Adresse_merge,lat,lon,display_name,type,category,geometry
470,"Wust, Ortsmitte",bus_stop,"337400,7",5809838,"['Bus stop Wust Ortsmitte, Brandenburg, 14770']","haltestelle wust, ortsmitte",52.4142178,12.6087172,"Wust, Ortsmitte, Wuster Straße, Wust, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",bus_stop,highway,POINT (12.6087172 52.4142178)
471,"Wust, An der B1",bus_stop,"337806,34",5809435,"['Bus stop Wust An der B1, Brandenburg, 14770']","haltestelle wust, an der b1",52.4110667,12.6153234,"Wust, An der B1, Wuster Straße, Wust, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",bus_stop,highway,POINT (12.6153234 52.4110667)
472,Kindergarten,bus_stop,"345325,66",5809762,"['Bus stop Kindergarten, Brandenburg, 14770']",haltestelle kindergarten,52.4161825,12.7256292,"Kindergarten, Deetzer Weg, Götz, Groß Kreutz (Havel), Potsdam-Mittelmark, Brandenburg, 14550, Deutschland",bus_stop,highway,POINT (12.7256292 52.4161825)
473,Kindergarten,bus_stop,"345326,4","5809751,5","['Bus stop Kindergarten, Brandenburg, 14770']",haltestelle kindergarten,52.4161825,12.7256292,"Kindergarten, Deetzer Weg, Götz, Groß Kreutz (Havel), Potsdam-Mittelmark, Brandenburg, 14550, Deutschland",bus_stop,highway,POINT (12.7256292 52.4161825)
474,Dorf,bus_stop,"348480,94",5812909,"['Bus stop Dorf, Brandenburg, 14770']",haltestelle dorf,52.4414372,12.4264739,"Dorf, Dorfstraße, Briest, Havelsee, Amt Beetzsee, Potsdam-Mittelmark, Brandenburg, 14798, Deutschland",bus_stop,highway,POINT (12.4264739 52.4414372)
475,Ortsmitte,bus_stop,"344882,03",5810082,"['Bus stop Ortsmitte, Brandenburg, 14770']",haltestelle ortsmitte,52.2829280,12.4681877,"Ortsmitte, Poststraße, Wollin, Ziesar, Potsdam-Mittelmark, Brandenburg, 14778, Deutschland",bus_stop,highway,POINT (12.4681877 52.282928)
476,Waldweg,bus_stop,"344466,5",5810891,"['Bus stop Waldweg, Brandenburg, 14770']",haltestelle waldweg,52.4260807,12.7124819,"Waldweg, Havelstraße, Götz, Groß Kreutz (Havel), Potsdam-Mittelmark, Brandenburg, 14550, Deutschland",bus_stop,highway,POINT (12.7124819 52.4260807)
477,Waldweg,bus_stop,"344475,9","5810894,5","['Bus stop Waldweg, Brandenburg, 14770']",haltestelle waldweg,52.4260807,12.7124819,"Waldweg, Havelstraße, Götz, Groß Kreutz (Havel), Potsdam-Mittelmark, Brandenburg, 14550, Deutschland",bus_stop,highway,POINT (12.7124819 52.4260807)
478,"Radewege, Nord",bus_stop,"335068,56",5817201,"['Bus stop Radewege Nord, Brandenburg, 14770']","haltestelle radewege, nord",52.4799716,12.5711510,"Radewege, Nord, Dorfstraße, Radewege, Beetzsee, Amt Beetzsee, Potsdam-Mittelmark, Brandenburg, 14778, Deutschland",bus_stop,highway,POINT (12.571151 52.4799716)
479,"Radewege, Nord",bus_stop,"335060,1",5817198,"['Bus stop Radewege Nord, Brandenburg, 14770']","haltestelle radewege, nord",52.4799716,12.5711510,"Radewege, Nord, Dorfstraße, Radewege, Beetzsee, Amt Beetzsee, Potsdam-Mittelmark, Brandenburg, 14778, Deutschland",bus_stop,highway,POINT (12.571151 52.4799716)
